step,mwg_logp,mwg_k,mwg_acc
2000,-198.46860503465012,58.0,0.0625
2020,-197.40558835044257,57.0,0.109375
2040,-187.43690053500913,51.0,0.171875
2060,-188.06674889154868,49.0,0.125
2080,-192.02210972835456,53.0,0.140625
2100,-191.08518470368466,55.0,0.125
2120,-190.25980575900982,47.0,0.078125
2140,-200.51505045241584,43.0,0.109375
2160,-193.26419608323351,43.0,0.03125
2180,-198.4501816638579,38.0,0.140625
2200,-190.94694850489878,43.0,0.0625
2220,-193.99380027754216,35.0,0.109375
2240,-193.31147430848168,38.0,0.1875
2260,-195.5956233664669,34.0,0.09375
2280,-198.7124175277223,34.0,0.140625
2300,-201.41110496784296,34.0,0.140625
2320,-199.00146912504908,38.0,0.140625
2340,-199.5824232031347,35.0,0.078125
2360,-200.9657544926054,34.0,0.046875
2380,-198.83916407269584,37.0,0.0625
2400,-198.08380977262445,31.0,0.078125
2420,-197.45189530068996,40.0,0.140625
2440,-190.5145651087672,32.0,0.09375
2460,-189.01258746159024,35.0,0.1875
2480,-189.79677134120527,36.0,0.203125
2500,-192.21038245983743,30.0,0.109375
2520,-189.91412388492913,33.0,0.109375
2540,-186.81848916719736,38.0,0.078125
2560,-188.00642186646746,29.0,0.171875
2580,-193.91474754744385,27.0,0.109375
2600,-189.6689862075463,38.0,0.125
2620,-188.03538015859846,42.0,0.09375
2640,-190.7165129696217,46.0,0.140625
2660,-187.1398468928412,37.0,0.15625
2680,-184.86311975747208,42.0,0.125
2700,-180.69756806221676,38.0,0.171875
2720,-180.24011216023558,38.0,0.125
2740,-188.3217918581647,42.0,0.125
2760,-192.79662552039358,43.0,0.125
2780,-191.8215559150534,34.0,0.09375
2800,-190.51866947438242,38.0,0.09375
2820,-185.36460326756,39.0,0.1875
2840,-188.89722926080333,40.0,0.078125
2860,-186.33578033734784,40.0,0.171875
2880,-195.79023828389285,37.0,0.125
2900,-182.87302599049792,35.0,0.171875
2920,-186.02764626837012,38.0,0.046875
2940,-188.49850698505736,37.0,0.171875
2960,-191.53690100063335,36.0,0.171875
2980,-196.05542434339327,40.0,0.125
3000,-196.71722838382397,38.0,0.171875
3020,-200.37775893842422,34.0,0.15625
3040,-194.82443965882274,39.0,0.078125
3060,-195.67940766412397,36.0,0.15625
3080,-197.8782105213444,36.0,0.171875
3100,-196.42343828500856,41.0,0.125
3120,-199.69264394792594,40.0,0.203125
3140,-202.45581216227123,42.0,0.15625
3160,-196.10866927693564,41.0,0.078125
3180,-193.20115696641275,41.0,0.125
3200,-198.5179368886561,36.0,0.140625
3220,-195.89449584765552,37.0,0.15625
3240,-194.83191078124645,36.0,0.078125
3260,-198.40321010370565,32.0,0.078125
3280,-199.44879113382297,37.0,0.203125
3300,-208.79646509122742,38.0,0.109375
3320,-208.67168003914415,38.0,0.09375
3340,-205.35792893134402,38.0,0.125
3360,-204.98246605925468,40.0,0.125
3380,-198.61134786413268,37.0,0.21875
3400,-203.55514431501177,40.0,0.078125
3420,-203.86505277887045,39.0,0.125
3440,-202.65952093924545,36.0,0.0625
3460,-198.98587572566868,35.0,0.140625
3480,-196.5565154305751,37.0,0.125
3500,-198.14402949968004,39.0,0.125
3520,-202.2665689462923,35.0,0.078125
3540,-199.9680539134291,35.0,0.15625
3560,-197.49742495271838,41.0,0.078125
