step,pseudo_logp,pseudo_k
2000,-223.17733586358003,44.0
2020,-233.69185384232247,53.0
2040,-238.46803804711266,63.0
2060,-222.7672003378181,58.0
2080,-233.96632459352924,43.0
2100,-232.10170110230436,39.0
2120,-221.2944900067139,28.0
2140,-219.55719013461868,27.0
2160,-219.0047709966833,32.0
2180,-220.83622310995582,24.0
2200,-226.14156392542256,34.0
2220,-233.69448580747894,24.0
2240,-218.6322302704511,32.0
2260,-213.94529105517154,43.0
2280,-215.8352535623033,54.0
2300,-209.48341897576546,49.0
2320,-211.8712798739906,42.0
2340,-213.90970932960565,51.0
2360,-216.6183506287037,42.0
2380,-221.23605266571963,33.0
2400,-231.09806245186292,29.0
2420,-225.1081643775592,30.0
2440,-226.3910044443557,43.0
2460,-227.79020216534812,48.0
2480,-235.46666694621956,45.0
2500,-236.11487168194148,53.0
2520,-236.47551743749432,52.0
2540,-238.59699183266946,52.0
2560,-241.50334166762187,48.0
2580,-235.0163012673158,49.0
2600,-235.85072259274403,48.0
2620,-236.71826408786842,53.0
2640,-237.8232254589023,50.0
2660,-228.18859622322003,49.0
2680,-235.86914563997448,42.0
2700,-224.1525313402406,55.0
2720,-248.17706656360195,63.0
2740,-231.67693782898237,59.0
2760,-238.05634349842288,58.0
2780,-246.0964447997904,52.0
2800,-233.757662859724,47.0
2820,-218.13124983079194,58.0
2840,-231.4896198675206,46.0
2860,-222.3751033748194,52.0
2880,-224.5654961038444,54.0
2900,-231.426179037213,54.0
2920,-243.63093177029367,52.0
2940,-249.94983075127328,51.0
2960,-237.33037026042712,52.0
2980,-238.10219170441266,51.0
3000,-239.48055170713928,43.0
3020,-240.40513309666093,41.0
3040,-242.31570988622593,37.0
3060,-250.16719620766608,38.0
3080,-253.9063331681441,39.0
3100,-243.54590457914665,38.0
3120,-248.46381526405236,51.0
3140,-239.47901069508276,43.0
3160,-242.40721616108294,51.0
3180,-233.0620300109273,45.0
3200,-236.0484028398172,36.0
3220,-232.20072211990774,39.0
3240,-229.5348865219862,47.0
3260,-234.45192676690252,29.0
3280,-222.20597860319268,35.0
3300,-224.13154273042753,33.0
3320,-233.91159436879627,32.0
3340,-235.32019103838618,35.0
3360,-242.58498280951102,34.0
3380,-241.08859426328215,36.0
3400,-234.14202216611085,30.0
3420,-236.49952584237258,32.0
3440,-227.45416184164068,27.0
3460,-222.63585785992126,25.0
3480,-228.72647475250682,50.0
3500,-233.38032728229638,54.0
3520,-238.87986813583626,57.0
3540,-241.07653720812698,49.0
3560,-248.53550382970448,57.0
3580,-233.96513901119616,56.0
3600,-242.56590049214856,43.0
3620,-242.8427827349339,35.0
3640,-241.10698590662304,41.0
3660,-247.17027083792658,40.0
3680,-233.38502794354088,39.0
3700,-235.41776594911124,49.0
3720,-241.14964527166256,60.0
3740,-243.73084444944612,27.0
3760,-231.13670927344538,26.0
3780,-224.69539698816442,27.0
3800,-234.55330836260822,30.0
3820,-237.6712802633175,24.0
3840,-242.9608618612266,35.0
3860,-240.50503361036016,46.0
3880,-241.75672485882149,56.0
3900,-228.7882278293347,49.0
3920,-232.88574215664792,47.0
3940,-235.66720490805216,58.0
3960,-223.10303432025918,53.0
3980,-223.6493967974721,65.0
4000,-232.78686450449467,64.0
4020,-223.92064211704246,50.0
4040,-227.56308097034946,37.0
4060,-248.16627327483747,34.0
4080,-229.1069689551486,37.0
4100,-236.6926061381749,41.0
4120,-230.71084917584068,37.0
4140,-228.87570511661886,48.0
4160,-229.48974877037764,44.0
4180,-233.3907159565536,41.0
4200,-226.72002776936432,58.0
4220,-238.672909326865,54.0
4240,-234.47420690704115,67.0
4260,-232.81290064870015,41.0
4280,-238.54521813723937,54.0
4300,-226.5238122978276,48.0
4320,-243.335982555526,52.0
