sample_id,logp_pseudo,logp_classic,logp_mix,acc_classic,acc_mix
0,-290.76983642578125,-244.38571166992188,-200.10781860351562,0.109375,0.265625
1,-277.8024597167969,-242.45516967773438,-187.70208740234375,0.046875,0.203125
2,-286.26458740234375,-244.4788055419922,-203.69729614257812,0.078125,0.28125
3,-299.0273742675781,-243.40029907226562,-201.8725128173828,0.09375,0.015625
4,-287.53021240234375,-240.2813720703125,-199.91432189941406,0.078125,0.21875
5,-304.457275390625,-240.13816833496094,-191.96298217773438,0.109375,0.0625
6,-280.5216064453125,-246.18775939941406,-194.04542541503906,0.03125,0.125
7,-299.7407531738281,-248.40431213378906,-187.13140869140625,0.0625,0.375
8,-293.26483154296875,-246.72137451171875,-187.29150390625,0.046875,0.234375
9,-283.5282287597656,-247.71121215820312,-190.45504760742188,0.125,0.046875
10,-287.69989013671875,-245.50991821289062,-185.02049255371094,0.078125,0.296875
11,-292.016845703125,-248.01101684570312,-191.61233520507812,0.0625,0.015625
12,-288.72296142578125,-251.75540161132812,-182.64581298828125,0.078125,0.15625
13,-274.65240478515625,-251.2477569580078,-179.03936767578125,0.09375,0.3125
14,-291.6286315917969,-247.73272705078125,-181.66519165039062,0.046875,0.234375
15,-298.72509765625,-233.67196655273438,-178.40496826171875,0.1875,0.21875
16,-282.91259765625,-245.41184997558594,-176.19183349609375,0.125,0.046875
17,-291.65374755859375,-247.98135375976562,-169.70236206054688,0.046875,0.015625
18,-298.3116760253906,-254.0470428466797,-188.15377807617188,0.046875,0.015625
19,-297.20428466796875,-244.56185913085938,-179.37570190429688,0.0625,0.015625
20,-296.1571960449219,-242.1345977783203,-184.10699462890625,0.15625,0.015625
21,-280.4604187011719,-249.64907836914062,-188.13552856445312,0.09375,0.046875
22,-296.0233154296875,-250.07235717773438,-172.6766357421875,0.046875,0.03125
23,-288.7740783691406,-248.07432556152344,-181.857177734375,0.109375,0.234375
24,-287.5129089355469,-254.91317749023438,-170.68820190429688,0.0625,0.0
25,-291.0975341796875,-238.60714721679688,-173.96458435058594,0.078125,0.21875
26,-281.77081298828125,-238.25064086914062,-167.40704345703125,0.078125,0.03125
27,-285.6810302734375,-239.14926147460938,-186.80348205566406,0.15625,0.25
28,-281.82891845703125,-243.23243713378906,-178.35226440429688,0.09375,0.015625
29,-290.060302734375,-239.5250701904297,-171.8358612060547,0.078125,0.28125
30,-296.6820983886719,-245.14974975585938,-167.96458435058594,0.109375,0.28125
31,-289.31353759765625,-244.87820434570312,-177.5711669921875,0.171875,0.109375
32,-295.0027160644531,-242.980224609375,-188.04031372070312,0.109375,0.046875
33,-296.1771240234375,-243.49017333984375,-185.02871704101562,0.15625,0.03125
34,-278.22991943359375,-246.14743041992188,-187.54542541503906,0.09375,0.0625
35,-276.37506103515625,-237.4004364013672,-193.6996612548828,0.125,0.265625
36,-294.1873474121094,-236.38294982910156,-188.74832153320312,0.109375,0.015625
37,-290.2559814453125,-237.93173217773438,-193.82252502441406,0.0625,0.015625
38,-300.22076416015625,-229.46536254882812,-199.46058654785156,0.109375,0.015625
39,-288.97332763671875,-238.16322326660156,-195.37591552734375,0.015625,0.0625
40,-284.093994140625,-235.3994140625,-189.40904235839844,0.125,0.0
41,-279.907470703125,-239.8861083984375,-198.77798461914062,0.046875,0.234375
42,-286.30780029296875,-245.8708953857422,-194.10919189453125,0.21875,0.015625
43,-291.0090026855469,-247.26068115234375,-193.72447204589844,0.109375,0.15625
44,-278.28778076171875,-240.77993774414062,-198.8619384765625,0.109375,0.03125
45,-282.609375,-239.44937133789062,-205.57073974609375,0.078125,0.015625
46,-291.33636474609375,-241.74681091308594,-198.49517822265625,0.0625,0.015625
47,-282.2058410644531,-235.87802124023438,-199.37957763671875,0.125,0.046875
48,-287.99334716796875,-241.25732421875,-200.1324462890625,0.078125,0.0
49,-283.4684753417969,-256.9150390625,-181.85415649414062,0.0625,0.03125
50,-289.2218017578125,-256.29638671875,-188.4122314453125,0.0625,0.140625
51,-278.5013427734375,-261.00042724609375,-188.24771118164062,0.078125,0.15625
52,-294.4261779785156,-254.01681518554688,-188.872802734375,0.0625,0.21875
53,-290.07379150390625,-254.19781494140625,-188.413330078125,0.109375,0.0
54,-299.2310791015625,-259.85589599609375,-181.89930725097656,0.0625,0.046875
55,-292.5240783691406,-253.21421813964844,-177.58877563476562,0.078125,0.28125
56,-290.849365234375,-254.7405548095703,-172.66131591796875,0.09375,0.03125
57,-295.2003173828125,-249.00282287597656,-170.1415557861328,0.0625,0.234375
58,-285.0464172363281,-246.6575927734375,-175.1405029296875,0.09375,0.03125
59,-279.11175537109375,-239.85743713378906,-167.9680633544922,0.109375,0.03125
60,-277.0433044433594,-235.08837890625,-187.08551025390625,0.078125,0.234375
61,-287.92523193359375,-226.08941650390625,-176.5294647216797,0.140625,0.28125
62,-275.5180358886719,-225.15447998046875,-172.72108459472656,0.15625,0.3125
63,-279.9345703125,-234.0247802734375,-169.89120483398438,0.109375,0.0
64,-283.8095397949219,-213.4443359375,-176.88418579101562,0.109375,0.140625
65,-278.7645263671875,-219.5902099609375,-188.797607421875,0.078125,0.015625
66,-289.0671081542969,-227.73629760742188,-193.24713134765625,0.09375,0.21875
67,-287.1715087890625,-232.70547485351562,-189.57449340820312,0.078125,0.140625
68,-307.39599609375,-225.7628173828125,-192.59490966796875,0.109375,0.015625
69,-284.87445068359375,-226.615966796875,-187.28872680664062,0.078125,0.171875
