sample_id,logp_pseudo,logp_classic,logp_mix,acc_classic,acc_mix
0,-214.97073364257812,-171.2552490234375,-139.15484619140625,0.078125,0.25
1,-216.9345703125,-173.24322509765625,-139.50027465820312,0.171875,0.15625
2,-217.37490844726562,-164.2610626220703,-136.62269592285156,0.1875,0.046875
3,-221.65016174316406,-160.5626220703125,-140.5599365234375,0.0625,0.03125
4,-227.66409301757812,-158.9073944091797,-136.88372802734375,0.140625,0.046875
5,-212.16473388671875,-163.94166564941406,-133.59454345703125,0.125,0.1875
6,-215.44671630859375,-167.51397705078125,-136.9519805908203,0.171875,0.28125
7,-226.85833740234375,-169.926513671875,-141.62925720214844,0.140625,0.03125
8,-219.91879272460938,-181.04681396484375,-136.24411010742188,0.140625,0.21875
9,-209.5767364501953,-163.65863037109375,-128.72601318359375,0.203125,0.03125
10,-216.4603729248047,-172.19842529296875,-126.6561508178711,0.140625,0.03125
11,-219.85797119140625,-166.80599975585938,-138.17160034179688,0.109375,0.21875
12,-219.1597900390625,-174.3599853515625,-134.16539001464844,0.140625,0.234375
13,-215.29095458984375,-158.95327758789062,-131.47348022460938,0.09375,0.03125
14,-223.86172485351562,-170.7306365966797,-136.2200164794922,0.140625,0.015625
15,-224.77032470703125,-173.82492065429688,-134.43785095214844,0.109375,0.03125
16,-218.02218627929688,-167.17022705078125,-131.17501831054688,0.1875,0.015625
17,-221.211669921875,-154.10824584960938,-131.1944122314453,0.15625,0.015625
18,-223.5072784423828,-168.2360382080078,-121.44446563720703,0.09375,0.34375
19,-215.50119018554688,-161.32696533203125,-130.56118774414062,0.140625,0.21875
20,-220.40896606445312,-168.830810546875,-127.25328063964844,0.125,0.046875
21,-218.05548095703125,-173.02798461914062,-133.17233276367188,0.140625,0.015625
22,-225.606689453125,-171.38897705078125,-129.43109130859375,0.171875,0.25
23,-225.144287109375,-168.88778686523438,-134.0543975830078,0.046875,0.078125
24,-219.4715118408203,-167.5605010986328,-126.24764251708984,0.078125,0.0
25,-215.07174682617188,-174.10104370117188,-129.36236572265625,0.109375,0.046875
26,-223.04257202148438,-164.70089721679688,-132.439208984375,0.140625,0.234375
27,-224.41455078125,-164.6664276123047,-135.1494903564453,0.109375,0.03125
28,-231.19793701171875,-162.76226806640625,-134.60452270507812,0.140625,0.046875
29,-221.23309326171875,-164.7011260986328,-133.85743713378906,0.15625,0.34375
30,-222.92724609375,-158.25497436523438,-144.35838317871094,0.125,0.015625
31,-216.9752960205078,-150.75570678710938,-137.08859252929688,0.1875,0.046875
32,-233.03970336914062,-160.66712951660156,-135.41207885742188,0.109375,0.203125
33,-219.5263671875,-168.6331329345703,-140.05599975585938,0.125,0.046875
34,-220.6000213623047,-164.66253662109375,-140.3939208984375,0.140625,0.265625
35,-215.25625610351562,-167.5534210205078,-137.41513061523438,0.140625,0.171875
36,-218.12588500976562,-164.28421020507812,-134.21591186523438,0.078125,0.234375
37,-223.77392578125,-174.1870574951172,-137.92111206054688,0.0625,0.015625
38,-225.65078735351562,-170.03338623046875,-134.46810913085938,0.125,0.03125
39,-226.5818328857422,-167.9681396484375,-130.20286560058594,0.1875,0.0
40,-234.0050506591797,-173.06082153320312,-137.30455017089844,0.15625,0.1875
41,-228.9667510986328,-163.022705078125,-132.19847106933594,0.0625,0.15625
42,-236.51535034179688,-155.68109130859375,-129.38186645507812,0.15625,0.078125
43,-222.63751220703125,-162.89691162109375,-131.8562469482422,0.125,0.015625
44,-228.5963134765625,-166.759765625,-130.30392456054688,0.109375,0.21875
45,-215.63174438476562,-168.585205078125,-131.11471557617188,0.15625,0.03125
46,-222.9971466064453,-163.8143310546875,-132.0372314453125,0.09375,0.25
47,-219.64315795898438,-169.0145721435547,-136.65167236328125,0.234375,0.296875
48,-221.328857421875,-158.61026000976562,-132.12123107910156,0.09375,0.0625
49,-223.40176391601562,-163.76768493652344,-134.50782775878906,0.140625,0.03125
50,-221.09210205078125,-178.26112365722656,-146.2184295654297,0.125,0.046875
51,-224.42982482910156,-158.87326049804688,-142.68968200683594,0.15625,0.140625
52,-214.7329864501953,-164.21200561523438,-144.64337158203125,0.203125,0.03125
53,-215.2632293701172,-166.250732421875,-136.59713745117188,0.171875,0.171875
54,-224.49945068359375,-178.010986328125,-139.23265075683594,0.109375,0.03125
55,-219.3384246826172,-164.75238037109375,-132.46759033203125,0.140625,0.03125
56,-227.0623779296875,-169.97418212890625,-129.90435791015625,0.171875,0.03125
57,-234.0918426513672,-176.94671630859375,-133.47230529785156,0.125,0.03125
58,-223.24575805664062,-159.1271514892578,-135.76663208007812,0.171875,0.140625
59,-222.310302734375,-171.2371826171875,-137.64926147460938,0.109375,0.046875
60,-217.57498168945312,-173.23167419433594,-141.44439697265625,0.140625,0.296875
61,-222.37277221679688,-178.3614959716797,-142.97747802734375,0.171875,0.03125
62,-217.38665771484375,-176.12124633789062,-147.22616577148438,0.15625,0.125
63,-218.62451171875,-170.3710479736328,-147.0102996826172,0.140625,0.0
64,-218.71942138671875,-174.12399291992188,-136.5541229248047,0.125,0.0625
65,-219.87762451171875,-174.06781005859375,-136.80368041992188,0.09375,0.03125
66,-228.04635620117188,-172.80429077148438,-132.20420837402344,0.171875,0.25
67,-223.77879333496094,-172.54803466796875,-133.4763641357422,0.15625,0.21875
68,-214.06544494628906,-175.22525024414062,-126.73197937011719,0.140625,0.265625
69,-221.5963592529297,-166.66534423828125,-134.31280517578125,0.140625,0.203125
