sample_id,logp_pseudo,logp_classic,logp_mix,acc_classic,acc_mix
0,-207.98419189453125,-178.95457458496094,-164.32679748535156,0.1875,0.203125
1,-218.03965759277344,-183.05560302734375,-163.78207397460938,0.203125,0.328125
2,-200.11553955078125,-178.72927856445312,-160.25723266601562,0.15625,0.171875
3,-219.78274536132812,-170.77391052246094,-157.87442016601562,0.1875,0.140625
4,-215.56930541992188,-187.6617431640625,-165.05325317382812,0.15625,0.3125
5,-200.54751586914062,-180.35926818847656,-148.73812866210938,0.125,0.21875
6,-208.08001708984375,-180.5531005859375,-148.56640625,0.09375,0.046875
7,-198.15374755859375,-172.1011199951172,-152.50344848632812,0.15625,0.03125
8,-190.35690307617188,-177.6060791015625,-154.63092041015625,0.171875,0.234375
9,-195.67453002929688,-185.37347412109375,-163.76060485839844,0.09375,0.03125
10,-202.61624145507812,-177.81231689453125,-152.2203369140625,0.125,0.03125
11,-200.72732543945312,-177.23101806640625,-159.38629150390625,0.078125,0.015625
12,-197.4888153076172,-180.73715209960938,-154.99261474609375,0.15625,0.234375
13,-201.55908203125,-192.14767456054688,-142.61483764648438,0.21875,0.28125
14,-206.4429931640625,-188.2530517578125,-152.16009521484375,0.125,0.265625
15,-202.25439453125,-191.50865173339844,-152.1470184326172,0.125,0.296875
16,-194.04022216796875,-190.07247924804688,-146.18685913085938,0.203125,0.078125
17,-204.74993896484375,-184.76272583007812,-159.43231201171875,0.15625,0.015625
18,-203.7344207763672,-185.40988159179688,-157.9652099609375,0.1875,0.046875
19,-219.88804626464844,-185.5296630859375,-155.460693359375,0.21875,0.28125
20,-208.8106689453125,-182.62879943847656,-164.2814483642578,0.15625,0.140625
21,-212.060546875,-192.00253295898438,-160.0972137451172,0.109375,0.25
22,-205.0193634033203,-193.5159454345703,-152.66165161132812,0.171875,0.09375
23,-209.32736206054688,-186.78521728515625,-157.3917999267578,0.1875,0.25
24,-209.9266357421875,-196.47250366210938,-160.3067626953125,0.078125,0.0625
25,-208.0337371826172,-197.3647918701172,-157.8896484375,0.125,0.046875
26,-201.1376495361328,-193.49635314941406,-151.14556884765625,0.125,0.203125
27,-217.02999877929688,-191.21629333496094,-147.01634216308594,0.0625,0.0625
28,-220.79086303710938,-189.879150390625,-156.42523193359375,0.203125,0.0
29,-218.15895080566406,-184.25225830078125,-152.52682495117188,0.109375,0.015625
30,-221.31483459472656,-189.83787536621094,-157.918212890625,0.171875,0.046875
31,-204.31048583984375,-196.1377716064453,-152.42796325683594,0.1875,0.21875
32,-197.28500366210938,-196.09788513183594,-164.92745971679688,0.1875,0.203125
33,-191.40420532226562,-189.77293395996094,-159.0865478515625,0.125,0.1875
34,-209.52142333984375,-192.55133056640625,-161.99905395507812,0.171875,0.03125
35,-201.23866271972656,-191.75958251953125,-163.20335388183594,0.203125,0.171875
36,-210.27911376953125,-188.39108276367188,-162.34461975097656,0.125,0.21875
37,-205.11752319335938,-182.4654541015625,-158.2439727783203,0.171875,0.140625
38,-188.9752197265625,-182.24240112304688,-155.96559143066406,0.140625,0.03125
39,-196.420166015625,-183.86343383789062,-160.58413696289062,0.109375,0.296875
40,-208.44186401367188,-184.53176879882812,-159.63427734375,0.125,0.0
41,-208.95321655273438,-183.30587768554688,-157.93087768554688,0.140625,0.25
42,-186.42181396484375,-177.9647216796875,-154.0663299560547,0.140625,0.1875
43,-196.61038208007812,-188.52020263671875,-155.6990203857422,0.109375,0.015625
44,-204.7494354248047,-190.1062469482422,-158.9956512451172,0.15625,0.203125
45,-198.6870574951172,-188.7666015625,-155.0524444580078,0.15625,0.21875
46,-208.936767578125,-185.40643310546875,-163.36129760742188,0.125,0.203125
47,-209.31333923339844,-179.99766540527344,-152.937255859375,0.140625,0.046875
48,-206.13348388671875,-180.59124755859375,-149.20968627929688,0.203125,0.15625
49,-224.57406616210938,-176.64944458007812,-154.067138671875,0.125,0.171875
50,-207.8075408935547,-181.09793090820312,-149.71466064453125,0.140625,0.265625
51,-193.41082763671875,-181.37579345703125,-157.22097778320312,0.171875,0.1875
52,-212.99681091308594,-191.58706665039062,-158.48365783691406,0.09375,0.03125
53,-198.39212036132812,-195.20269775390625,-162.95370483398438,0.09375,0.046875
54,-205.06640625,-187.87896728515625,-159.6330108642578,0.171875,0.078125
55,-217.3853759765625,-183.842041015625,-156.9352264404297,0.140625,0.015625
56,-199.22314453125,-192.16867065429688,-162.95758056640625,0.125,0.03125
57,-205.665283203125,-183.2503204345703,-167.94818115234375,0.21875,0.015625
58,-201.97463989257812,-190.37152099609375,-165.8368377685547,0.109375,0.234375
59,-208.40414428710938,-186.82424926757812,-172.59326171875,0.15625,0.03125
60,-208.44578552246094,-191.70785522460938,-164.58909606933594,0.109375,0.1875
61,-197.8754425048828,-187.17349243164062,-174.16680908203125,0.171875,0.015625
62,-203.71795654296875,-191.1239013671875,-166.42697143554688,0.109375,0.015625
63,-208.5043487548828,-189.14129638671875,-170.98194885253906,0.0625,0.140625
64,-216.31686401367188,-182.8106689453125,-170.0594024658203,0.1875,0.25
65,-210.4436492919922,-177.42201232910156,-175.66928100585938,0.109375,0.203125
66,-203.37625122070312,-182.92059326171875,-158.5611572265625,0.171875,0.234375
67,-203.79579162597656,-178.0401153564453,-162.0718536376953,0.09375,0.109375
68,-208.78854370117188,-179.4169921875,-156.7783660888672,0.125,0.0625
69,-201.714599609375,-186.5822296142578,-156.6119384765625,0.15625,0.140625
