step,f1,logp,acc,rho
2000,0.8345787545787546,-45.90475987021528,0.17967578710644677,1.0
2100,0.8591035187618631,-36.274400344708155,0.19515625,1.0
2200,0.8645085689175334,-34.55838112639697,0.17703125,1.0
2300,0.8676320023402077,-33.71467660002354,0.18625,1.0
2400,0.8653958944281525,-33.15955350621956,0.2034375,1.0
2500,0.866852204482203,-32.861565581814716,0.16625,1.0
2600,0.8673215071103944,-32.64809425045972,0.1546875,1.000100016593933
2700,0.8679466510332698,-32.2788947947842,0.16140625,1.0
2800,0.8682125036689169,-31.957383755009403,0.16296875,1.0
2900,0.8705330990041008,-31.742100094528933,0.1678125,1.0001031160354614
3000,0.871298739372618,-31.715903820650844,0.1603125,1.0
3100,0.8719002201027146,-31.651618457951688,0.17421875,1.0
3200,0.8705468406392025,-31.486686859607094,0.17578125,1.0
3300,0.8711854460093896,-31.393113334818057,0.1871875,1.0
3400,0.8716820648188884,-31.388999794990156,0.1746875,1.0
3500,0.8708779129415213,-31.25093928704633,0.17734375,1.0000250339508057
3600,0.8715919085312225,-31.066167221538606,0.181875,1.0002312660217285
3700,0.8720129013341152,-30.914247757588388,0.18265625,1.0
3800,0.8715919085312225,-30.80774756714991,0.19828125,1.0
3900,0.872268661094002,-30.79432525733447,0.17828125,1.0
4000,0.871606749816581,-30.725489751754825,0.1815625,1.0
4100,0.8713132795304476,-30.667232642856355,0.19328125,1.0
4200,0.8719601523586288,-30.562814057059903,0.18421875,1.0
4300,0.8722311867390348,-30.42276377425568,0.1803125,1.0
4400,0.8717723004694836,-30.396563298814158,0.1740625,1.0
4500,0.872321690636924,-30.37961359182384,0.17203125,1.0
4600,0.8729832795541215,-30.363149406878307,0.17328125,1.0
4700,0.8737721741680106,-30.220609074501265,0.1803125,1.0
4800,0.8732229224681225,-30.230874706951987,0.18484375,1.0
4900,0.8743954272314232,-30.12671236641475,0.16828125,1.0
5000,0.8741566441771781,-30.044434526636934,0.17328125,1.0
5100,0.8736409050837496,-30.041483298120788,0.16359375,1.0
5200,0.873512560599383,-29.978579299018413,0.16578125,1.0
5300,0.872834067547724,-29.934328227430285,0.1659375,1.0
5400,0.8725403817914831,-29.901698621591166,0.1715625,1.0
5500,0.8724497284602964,-29.911003841302986,0.15890625,1.0
5600,0.8732022307014969,-29.919471083425265,0.1821875,1.0
5700,0.8732932021729555,-29.9367496915993,0.1953125,1.0
5800,0.8734957440563546,-29.916354837910283,0.1959375,1.0
5900,0.8735328638497653,-29.914439000306377,0.18546875,1.0
6000,0.8734418536442293,-29.922541574317513,0.17015625,1.0
6100,0.8731321418107237,-29.884625641505743,0.17171875,1.0
6200,0.873094958968347,-29.89297503540909,0.18390625,1.0
6300,0.8726739926739927,-29.904218148593984,0.17140625,1.0
6400,0.8719976567076743,-29.90482897954751,0.181875,1.0
6500,0.8715394756115424,-29.90179787380442,0.1865625,1.0
6600,0.8718324300571261,-29.90147452750895,0.18390625,1.0
6700,0.8723809523809524,-29.908873912624742,0.174375,1.0
6800,0.872268661094002,-29.91917612818122,0.17546875,1.0
6900,0.8723435438956471,-29.920798394063294,0.145,1.0
7000,0.8725619592315589,-29.93526635913152,0.16828125,1.0
7100,0.8729832795541215,-29.93694281087634,0.17765625,1.0
7200,0.8726366700864723,-29.936843544419904,0.18578125,1.0
7300,0.8719601523586288,-29.845895545630945,0.16375,1.0
7400,0.8718324300571261,-29.797298840783373,0.16734375,1.0
7500,0.8708779129415213,-29.808242207167414,0.17421875,1.0
7600,0.871298739372618,-29.770026185528828,0.1771875,1.0
7700,0.8709677419354839,-29.76123751891477,0.1928125,1.0
7800,0.870840052778185,-29.677520469572,0.1778125,1.0
7900,0.8709157509157509,-29.661359373572253,0.189375,1.0
8000,0.8708779129415213,-29.6637221951473,0.17734375,1.0
8100,0.8711710391323465,-29.61083161827454,0.18046875,1.0
8200,0.8716295427901524,-29.618168427722246,0.1878125,1.0
8300,0.8714641653231716,-29.607587389932522,0.19375,1.0
8400,0.8715542521994135,-29.611164110226827,0.1896875,1.0
8500,0.8711332649171676,-29.61579810793272,0.1959375,1.0
8600,0.8713510341792577,-29.60114813869802,0.1896875,1.0
8700,0.8710954685437747,-29.608097884269824,0.16890625,1.0
8800,0.871298739372618,-29.608968920374824,0.17953125,1.0
8900,0.8710954685437747,-29.579222531309888,0.17703125,1.0
9000,0.8710576499926654,-29.591405294017513,0.16078125,1.0
9100,0.870764265806073,-29.551616830580585,0.18046875,1.0
9200,0.8705985915492958,-29.536883966733498,0.18203125,1.0
9300,0.8707263389581805,-29.533814097912654,0.16109375,1.0
