step,f1,logp,acc
2000,0.51290370151895,-264.97706338007697,0.10052005247376312
2100,0.5114744262786861,-238.25641325721904,0.098125
2200,0.5130591413989792,-225.4807083993075,0.0975
2300,0.5161096055404999,-215.28404983524624,0.11109375
2400,0.5180722891566265,-206.1716183890406,0.10421875
2500,0.5215281989084294,-201.44600245711734,0.10078125
2600,0.5224813290656912,-196.55478497812055,0.1059375
2700,0.5219923371647509,-192.91938522963727,0.08921875
2800,0.5222597482345717,-191.53670472321443,0.0865625
2900,0.5236999539806719,-188.66870363911352,0.0971875
3000,0.5237366003062787,-186.6705260257682,0.086875
3100,0.5227655986509275,-186.74395639181006,0.11890625
3200,0.5215788665335586,-184.77040650564635,0.100625
3300,0.5220463972960516,-183.47481286102322,0.07828125
3400,0.5227412415488629,-182.32886256935055,0.08890625
3500,0.5239341234415884,-181.36158980038377,0.1075
3600,0.5241761626116415,-177.47672286838292,0.0990625
3700,0.5237068965517241,-176.6701099680144,0.1159375
3800,0.5214714483607819,-174.08622262549952,0.100625
3900,0.5201724668925162,-172.6312181346944,0.09140625
4000,0.5218730745532963,-172.4607178097312,0.1025
4100,0.5213767556721717,-172.46103094995124,0.09390625
4200,0.5218195836545875,-171.61535534595743,0.10875
4300,0.5223028245099552,-171.5933436372619,0.1040625
4400,0.5235230603115841,-171.3767226565405,0.09328125
4500,0.5235892691951897,-170.08596622428075,0.09671875
4600,0.5228010511671046,-169.88578908765055,0.11546875
4700,0.5245090459254678,-167.88604950678527,0.10625
4800,0.5265603221310206,-166.3625499420178,0.11578125
4900,0.5255655407499226,-166.05455515562215,0.12453125
5000,0.5258754260923458,-164.15934914573324,0.10515625
5100,0.5262668526266853,-162.07580754369314,0.11828125
5200,0.5256788207913111,-161.14628627137188,0.11
5300,0.526413921690491,-158.7388856890013,0.131875
5400,0.5270522388059702,-157.40993492178472,0.105625
5500,0.5281963647661955,-155.31305951350748,0.11765625
5600,0.5279676817899316,-152.84859249353866,0.10609375
5700,0.5280671746229202,-150.89359307476502,0.12109375
5800,0.5295214418893723,-149.8761088151769,0.11640625
5900,0.5294574848437743,-147.6221136713022,0.1059375
6000,0.5295765877957659,-147.24648179867364,0.11109375
6100,0.5298426055789309,-147.0482409330542,0.10703125
6200,0.5295309334580022,-146.8724056352604,0.086875
6300,0.5302746566791511,-146.89274448405703,0.10734375
6400,0.5309624083606301,-146.67318386818948,0.10359375
6500,0.5301280049953169,-143.09328503089432,0.1059375
6600,0.5298157976896659,-141.69080173381474,0.109375
6700,0.5297888975762314,-140.21591333518012,0.081875
6800,0.5302034428794992,-140.11495901031657,0.101875
6900,0.5296145408962708,-139.4079930534902,0.11328125
7000,0.5314509803921569,-136.53054534537455,0.099375
7100,0.5333542614974102,-136.0446058062553,0.094375
7200,0.5331448319195727,-135.88314886315106,0.0971875
7300,0.5345694531741043,-135.3543111861164,0.09625
7400,0.5341712490180676,-135.29624286840286,0.10453125
7500,0.5359949701351776,-135.29882354964758,0.10484375
7600,0.5358490566037736,-135.0590264866733,0.09734375
7700,0.5364779874213836,-134.91488998584816,0.10640625
7800,0.5381715362865221,-134.71317802487073,0.09546875
7900,0.53954802259887,-134.4500602857969,0.08828125
8000,0.5392834695160277,-134.33047614250816,0.1021875
8100,0.5399717292288362,-134.3462785454169,0.0825
8200,0.5406510457619123,-134.36073531464365,0.09234375
8300,0.5413060582218725,-134.12210208543044,0.08859375
8400,0.5426502990242367,-134.0550296690232,0.10375
8500,0.5438237608182533,-133.941755258333,0.10984375
8600,0.5449677114506222,-133.95395359097756,0.10859375
8700,0.5455119103959615,-133.54473326714316,0.093125
8800,0.5462568951930654,-133.55803335329392,0.09890625
