step,f1,logp,acc
2000,0.5434850863422293,-222.07002859822268,0.10890648425787107
2100,0.5466054755499288,-198.59325764695475,0.1009375
2200,0.5499841320215805,-192.33451344164223,0.1021875
2300,0.5455989831585637,-185.39941395692858,0.10296875
2400,0.544030685632092,-180.46374883931986,0.10046875
2500,0.5460083360051299,-173.89017423017467,0.11375
2600,0.5468599033816425,-171.93085540770176,0.10609375
2700,0.5460399227301996,-165.0008942778885,0.11546875
2800,0.5449556093623891,-162.12390102829033,0.10671875
2900,0.5434782608695652,-160.24276563155226,0.10109375
3000,0.5426482534524777,-156.66779686143326,0.10140625
3100,0.5438282647584973,-153.08150855146198,0.1075
3200,0.5440888308295232,-152.2712615298673,0.10203125
3300,0.5452166802943581,-150.40260047054676,0.10328125
3400,0.5469749139203148,-150.15338820672378,0.10640625
3500,0.5462612982744454,-148.62619339397003,0.111875
3600,0.5476660092044707,-147.1421649476169,0.093125
3700,0.5469495148824206,-146.07755061305096,0.10125
3800,0.5441975308641975,-145.2433257238541,0.09328125
3900,0.5459032576505429,-141.90232997444778,0.09921875
4000,0.5484136117047509,-140.820489262327,0.0978125
4100,0.5485357025337282,-139.64516939288373,0.10453125
4200,0.5495228693649227,-139.51877456977195,0.09671875
4300,0.5489809335963182,-138.1949212611718,0.095625
4400,0.5509768510917747,-136.56657866385513,0.09734375
4500,0.5506484977836151,-134.74975693070775,0.10015625
4600,0.5507293886248156,-134.0196572246608,0.10453125
4700,0.5513957307060755,-133.30556553301875,0.1034375
4800,0.555008210180624,-132.32425187175787,0.09671875
4900,0.5553914327917282,-131.51152947011485,0.10515625
5000,0.5561567470077062,-129.80943917296332,0.10765625
5100,0.5568293481821159,-127.11609207452116,0.113125
5200,0.5576451349141456,-126.74128785481102,0.11203125
5300,0.5563000490276189,-125.2944649184757,0.1096875
5400,0.5563564875491481,-125.17773361759151,0.0846875
5500,0.5571194762684124,-124.48401122706355,0.11421875
5600,0.5572269457161544,-123.60484692480355,0.125
5700,0.5579343029906848,-121.18072087941813,0.11078125
5800,0.5584967320261438,-120.09861011232415,0.089375
5900,0.5588907014681892,-119.87371539078532,0.09640625
6000,0.5592030050628777,-119.70786762910407,0.1021875
6100,0.5588763677935652,-118.39705041513743,0.1103125
