step,f1,logp,acc
2000,0.8397626112759644,-43.10048572392848,0.18778110944527737
2100,0.8584947508502144,-35.868755718841385,0.18609375
2200,0.8643542435424354,-34.77171571880892,0.17734375
2300,0.8674556213017751,-34.14777074149118,0.18921875
2400,0.8667456322179449,-33.826679185438145,0.17125
2500,0.8669717997932969,-33.38504017377194,0.1659375
2600,0.869501033362858,-33.105374838755395,0.15015625
2700,0.8693081017149615,-32.74704406457729,0.18015625
2800,0.870452528837622,-32.26641512612512,0.1821875
2900,0.8722649319929036,-31.74676325666337,0.18921875
3000,0.8724852071005917,-31.435061042011405,0.1878125
3100,0.8704908338261383,-31.06402513223076,0.18375
3200,0.8715596330275229,-31.073878458916987,0.1721875
3300,0.8717417061611374,-31.081585480709776,0.16921875
3400,0.8717265867731913,-31.069944743560605,0.1896875
3500,0.8717265867731913,-31.020864240832257,0.170625
3600,0.8722271517302573,-30.974266744503936,0.19296875
3700,0.8716356107660456,-30.921895317566907,0.1834375
3800,0.8713926298653248,-30.951285032012407,0.19078125
3900,0.872113676731794,-30.974155825508415,0.18078125
4000,0.8727810650887574,-30.976671026491026,0.1809375
4100,0.8725925925925926,-30.888276638220916,0.173125
4200,0.8717796861119337,-30.857331530626062,0.18203125
4300,0.8716506291635825,-30.67473339447405,0.16765625
4400,0.8716126166148378,-30.655342075489106,0.171875
4500,0.8722049459499481,-30.648546878355013,0.19046875
4600,0.8720758069292271,-30.641559420060872,0.16578125
4700,0.8726680485638141,-30.620787697231016,0.1528125
4800,0.8731310140636566,-30.59644855043677,0.18234375
4900,0.8732978093546477,-30.60968016859322,0.18984375
5000,0.8727057430432208,-30.622720664921673,0.1875
5100,0.8727972752850585,-30.594396431989857,0.17625
5200,0.8729265402843602,-30.603956463748183,0.1690625
5300,0.8730558435787291,-30.5771298408077,0.17875
5400,0.8733520959857799,-30.593209715017135,0.2128125
5500,0.8733727810650888,-30.578934650947982,0.1846875
5600,0.8732436030173051,-30.586197482834578,0.166875
5700,0.8723026899201892,-30.546323675094797,0.15484375
5800,0.8720981812804969,-30.500605472441357,0.18203125
5900,0.8720070942950044,-30.476260304985324,0.17296875
6000,0.8725606150206978,-30.488463135344443,0.19140625
6100,0.8727272727272727,-30.49902670000258,0.1940625
6200,0.8730979465209041,-30.476264153427064,0.17984375
6300,0.8730229120473023,-30.38788496326755,0.17953125
6400,0.8723939080289812,-30.38459901402841,0.199375
6500,0.8717114986698197,-30.38559682163576,0.19734375
6600,0.8721737845426334,-30.40019059496558,0.19859375
6700,0.8725606150206978,-30.41152397023359,0.17234375
6800,0.8727648884291415,-30.416331198056135,0.199375
6900,0.8726896347774656,-30.374793231904732,0.18515625
7000,0.8720449172576832,-30.3825737134744,0.19828125
7100,0.8725070172846802,-30.38835968464273,0.18625
7200,0.8726359338061466,-30.35483788089872,0.1834375
7300,0.8731354305124797,-30.355915544434918,0.1921875
7400,0.8720449172576832,-30.242251147739303,0.18453125
7500,0.8722115526665681,-30.247740420572626,0.17875
7600,0.8720449172576832,-30.255144479162446,0.16140625
7700,0.8719692489651094,-30.258233504307015,0.1903125
7800,0.871840354767184,-30.24608018895744,0.19328125
7900,0.8718934911242604,-30.25009203643453,0.175
8000,0.871301775147929,-30.261416775616738,0.1715625
8100,0.8719467061435974,-30.195561069016737,0.169375
8200,0.8718555785735425,-30.180257473907314,0.17546875
8300,0.8722271517302573,-30.189091004275333,0.19046875
8400,0.8717265867731913,-30.19762647724251,0.17796875
8500,0.8716356107660456,-30.205132793513414,0.18375
8600,0.8708770891879899,-30.204279491602342,0.18296875
8700,0.871840354767184,-30.20529920813238,0.165625
8800,0.8716356107660456,-30.176896809672343,0.196875
8900,0.8716356107660456,-30.113694152415356,0.1809375
9000,0.8716356107660456,-30.125353107785333,0.1884375
9100,0.8715976331360947,-30.12590280731778,0.18890625
9200,0.8714687176453187,-30.049729863298516,0.18171875
9300,0.8717645318739832,-30.052599666407854,0.18375
9400,0.871506727783528,-30.053227159906967,0.1825
9500,0.8713398402839396,-30.058975521570446,0.185625
9600,0.8716735659373152,-30.04533033991228,0.18875
9700,0.8718024545320124,-30.051647859532856,0.185625
9800,0.8722649319929036,-30.010322719682463,0.180625
9900,0.8721737845426334,-30.02069560813741,0.19265625
10000,0.8726359338061466,-30.020454519338422,0.19890625
10100,0.8726359338061466,-30.015447565955732,0.19734375
10200,0.8722115526665681,-30.025475668287285,0.17453125
10300,0.8725070172846802,-30.016145396884557,0.184375
10400,0.8721359940872137,-30.018179690137956,0.19203125
10500,0.8719692489651094,-29.976765169855664,0.18484375
10600,0.8719692489651094,-29.955399359304142,0.19984375
10700,0.8721359940872137,-29.96130120992435,0.1859375
10800,0.8720070942950044,-29.93598267265231,0.19203125
10900,0.8726359338061466,-29.936972597169436,0.18875
11000,0.8724316334072432,-29.943960401429017,0.1696875
11100,0.8733559923156494,-29.947602672431643,0.166875
11200,0.8734308078570374,-29.901974498712615,0.19453125
11300,0.8728938811705587,-29.899884752445608,0.18328125
11400,0.8725982855453739,-29.902897399960253,0.17015625
11500,0.8725982855453739,-29.857543916074995,0.19609375
11600,0.8731519810762862,-29.849321899763645,0.18609375
11700,0.8732810882744344,-29.84880103288787,0.1840625
11800,0.8732436030173051,-29.84560678865826,0.17015625
11900,0.8734102336586809,-29.84331278978568,0.2003125
12000,0.8730769230769231,-29.841720866596326,0.1775
12100,0.8730393607576206,-29.835576664369164,0.173125
12200,0.8732060955762687,-29.84108936447949,0.18890625
12300,0.8733353063036401,-29.843406139653908,0.175625
12400,0.8736312518496596,-29.825125399821886,0.1709375
12500,0.8733353063036401,-29.83012523928093,0.1859375
12600,0.8730393607576206,-29.824538192491822,0.19078125
12700,0.8728725765872428,-29.828720778531213,0.18484375
12800,0.8729101938156532,-29.836663041860977,0.1884375
12900,0.8725765872428592,-29.842619852871383,0.19546875
13000,0.8724097098875074,-29.850888915813787,0.18453125
13100,0.8724097098875074,-29.85182899471767,0.1703125
13200,0.8723183902944223,-29.854797518890187,0.18515625
13300,0.8727810650887574,-29.853285207159615,0.185625
13400,0.8729477887886408,-29.850177554459666,0.17015625
13500,0.8728186926944691,-29.8322871594977,0.18515625
13600,0.8729853615259501,-29.83776913544876,0.193125
13700,0.8730604403723955,-29.835035794828855,0.18265625
13800,0.8726896347774656,-29.84190260433092,0.19578125
13900,0.8731144631765749,-29.845663492469043,0.19
14000,0.8734476641040805,-29.84692415486009,0.18859375
14100,0.8734102336586809,-29.84907836460916,0.181875
14200,0.8735394172459695,-29.85316899295968,0.19296875
14300,0.8732810882744344,-29.858632387501927,0.1853125
14400,0.8734102336586809,-29.859788634754523,0.1796875
14500,0.8731519810762862,-29.86477622436412,0.19109375
14600,0.8734102336586809,-29.862068962409694,0.1790625
14700,0.8735394172459695,-29.832457676471854,0.17296875
14800,0.8735768150229188,-29.835406840898223,0.17859375
14900,0.8737433471318746,-29.82340940758853,0.1815625
15000,0.873909830007391,-29.80931012745819,0.1778125
15100,0.8736141906873615,-29.813979569003337,0.1796875
15200,0.8736141906873615,-29.81346619545993,0.1834375
15300,0.8734476641040805,-29.817435462543017,0.17625
15400,0.8734850724209282,-29.821668927384245,0.18078125
15500,0.8737806680461129,-29.82679174638924,0.19265625
15600,0.873909830007391,-29.83182351598359,0.18234375
15700,0.8740762636712976,-29.818649839810902,0.19953125
15800,0.873909830007391,-29.810313150578637,0.17390625
15900,0.8740390301596689,-29.80332532028271,0.171875
