step,f1,logp,acc
2000,0.51008,-227.47751615329054,0.12341485507246377
2100,0.5287096774193548,-192.59517527704233,0.12703125
2200,0.5364591754244139,-179.02557774874333,0.12171875
2300,0.5396568468760117,-172.78574977225054,0.12390625
2400,0.5378233284529038,-161.41893912286216,0.13546875
2500,0.5416120576671035,-156.92018372439583,0.129375
2600,0.5463478545692761,-153.23428957946243,0.13296875
2700,0.5445560863119749,-149.23423719934408,0.13140625
2800,0.545544718135229,-146.40575548212823,0.11796875
2900,0.5460886895864474,-142.87245436663088,0.1090625
3000,0.5463040213582513,-141.04175490401573,0.1146875
3100,0.5467000835421888,-138.85400152490263,0.12546875
3200,0.5468540829986613,-135.48266749639546,0.13234375
3300,0.5493217216546642,-133.3833264535148,0.1440625
3400,0.5502183406113537,-132.19962233763727,0.10390625
3500,0.5524065067918833,-131.15675807020324,0.1165625
3600,0.5520255505126912,-130.71189437996242,0.1325
3700,0.5508174616551492,-126.85224316391017,0.12953125
3800,0.550944669365722,-126.86680420136116,0.113125
3900,0.5501267962806424,-125.4410577427677,0.11453125
4000,0.550744248985115,-123.28375939810701,0.11046875
4100,0.5503128699475731,-122.94963811625077,0.10953125
4200,0.5505332656170645,-122.35178210738921,0.109375
4300,0.5500762582613117,-121.80438227147214,0.12171875
4400,0.550008461668641,-120.49933788324533,0.1140625
4500,0.5478894727919986,-120.0061156198378,0.10765625
4600,0.5484144480244192,-120.01003353707753,0.12515625
4700,0.5476756023074313,-119.95080703374079,0.12546875
4800,0.5486935866983373,-119.59051348543895,0.136875
4900,0.5496441884107083,-117.76098994529893,0.11953125
5000,0.5496699949229988,-117.14167505850719,0.11125
5100,0.5489001692047377,-117.00708807858845,0.12578125
5200,0.5510930350788003,-117.03499948449843,0.11875
5300,0.550778605280975,-115.05883558551557,0.115
5400,0.5523777288881367,-115.05420336837038,0.1184375
5500,0.5531123139377537,-114.5355931675042,0.1328125
5600,0.5527740189445196,-113.32350804476846,0.11546875
5700,0.5524581855043081,-112.6206171512494,0.11578125
5800,0.5511651469098278,-111.6547604386144,0.13390625
5900,0.5495769881556684,-111.67978562760138,0.13328125
6000,0.5489930614317143,-111.69443933454366,0.1353125
6100,0.5485346434016601,-111.69723299925641,0.12515625
6200,0.5489664520501525,-111.45562113869485,0.125625
6300,0.5493053202304303,-109.96697418033091,0.1265625
6400,0.5509408374300729,-109.52486451635414,0.1284375
6500,0.5515953835709436,-109.50790096789254,0.12015625
6600,0.5512211668928086,-109.30091182317635,0.106875
6700,0.5506705143439145,-108.89199291423476,0.12796875
6800,0.5520285180784247,-108.26944058789024,0.13359375
6900,0.5518411674868487,-108.28710014407247,0.10859375
7000,0.5514082117407533,-108.1386011893002,0.12875
7100,0.5515254237288135,-106.79244941782896,0.13375
7200,0.5502968617472435,-106.63529551865548,0.1065625
7300,0.5503652114829285,-105.32923686354948,0.136875
7400,0.5522742701968771,-105.32181351485727,0.12328125
7500,0.5524974515800204,-105.23621267008943,0.09890625
7600,0.5527791942886282,-105.24482509988407,0.13171875
7700,0.5531191568927418,-105.25510589701528,0.11546875
7800,0.5522642151855635,-104.51514548043707,0.12109375
7900,0.5530032329419772,-104.11181935824271,0.12140625
8000,0.5536473388879443,-103.68699692046678,0.11515625
8100,0.5533072606699541,-103.6646470217218,0.1284375
8200,0.5540241619874086,-103.35604898645705,0.118125
8300,0.5544588155207624,-103.12541743611942,0.12671875
8400,0.5550076517599047,-103.119174571158,0.11625
8500,0.5555177111716622,-103.13397921539001,0.11046875
8600,0.5568027210884354,-102.89014683649722,0.1084375
8700,0.5566905005107252,-102.5199781801332,0.11796875
8800,0.5569188820722563,-102.53282091784988,0.11359375
8900,0.5567502986857825,-100.92517632276909,0.1215625
9000,0.5570916538658475,-100.14638836642254,0.0984375
9100,0.5564268666893966,-100.1509065311277,0.10171875
9200,0.5580919931856899,-99.6491519983925,0.1040625
9300,0.5559726962457338,-98.47701153551412,0.12296875
9400,0.5553848779655232,-98.47568616194641,0.1290625
9500,0.5555365978501963,-98.39056878137424,0.13265625
9600,0.5573378839590444,-98.00861036661458,0.1225
9700,0.5579487179487179,-97.91994382761561,0.12421875
9800,0.5578533584002735,-97.92893262365804,0.126875
