alpha,rw_sigma,f1_mean,logp_mc,acc
0.0,0.05,0.8005435032706202,-43.967364904831754,
0.0,0.1,0.8051367597723793,-41.1839288581625,0.3769740038830787
0.0,0.15,0.8053907132298301,-40.64578476974535,0.20172574103344232
0.0,0.25,0.7986961935674385,-45.21448340045246,0.05091478930786252
0.0,0.5,0.7656046503860982,-73.0510552169378,0.0014300331732318998
0.25,0.05,0.7983834546888248,-44.086290371090186,
0.25,0.1,0.8056001845424937,-41.224599698197046,0.289727620407939
0.25,0.15,0.804877086674273,-41.126723649620295,0.15855604317272082
0.25,0.25,0.8026436620711596,-44.2579312575338,0.04538259994267719
0.25,0.5,0.7732486671499615,-64.64667873231662,0.01381635131585105
0.5,0.05,0.7942437291677368,-45.38651677826461,
0.5,0.1,0.8038632619521097,-42.03215242854526,0.2112246701354161
0.5,0.15,0.8041857827120167,-42.82550845948687,0.11983913598698565
0.5,0.25,0.7976846698814974,-45.91255695513906,0.04632612477813382
0.5,0.5,0.7650211264418224,-62.70430706231791,0.0374207805877991
0.75,0.05,0.7839017878047689,-48.355513673653995,
0.75,0.1,0.796269786474783,-44.357761773477996,0.1440679024788551
0.75,0.15,0.7933708230509784,-45.54412578293156,0.09526668684033211
0.75,0.25,0.7853370730448793,-50.11142713528511,0.06065637936215353
0.75,0.5,0.7609650808828679,-64.11626371891272,0.06913807756542155
1.0,0.05,0.7578640281563468,-57.0514811471797,0.1484539943083655
1.0,0.1,0.7611099120502425,-57.08422742486098,0.14728460194775833
1.0,0.15,0.7604219142024733,-57.95854579764638,0.14784122239332645
1.0,0.25,0.7558702648522331,-57.56139313349267,0.14863246015040205
1.0,0.5,0.7565377635837797,-57.8114477263055,0.1533318939304445
