mask,rep,alpha,rw_sigma,f1_mean,logp_mc,acc
top,0,0.0,0.05,0.6439862542955327,-66.81914332468959,
bottom,0,0.0,0.05,0.6464376022608954,-74.72181862722755,
center,0,0.0,0.05,0.7308546059933407,-58.45330850894247,
random50,0,0.0,0.05,0.8779859819768273,-30.472250769943898,
random50,1,0.0,0.05,0.8762541806020067,-30.923473121109744,
random50,2,0.0,0.05,0.8722822174226061,-31.808467772193495,
random50,3,0.0,0.05,0.880175566934894,-28.438089454534612,
random50,4,0.0,0.05,0.8763716166788588,-30.102367660012682,
top,0,0.0,0.1,0.6557602893060099,-61.97451253268976,0.3763955783843994
bottom,0,0.0,0.1,0.649413180860668,-70.40911288480558,0.41376469865441323
center,0,0.0,0.1,0.7381580775107653,-50.08799703079893,0.37126438796520234
random50,0,0.0,0.1,0.8753128220226704,-29.15553689100892,0.36880379639565947
random50,1,0.0,0.1,0.879045996592845,-29.987187612547455,0.37311274617910384
random50,2,0.0,0.1,0.8804459439636204,-28.90051148749803,0.37005801513791087
random50,3,0.0,0.1,0.8812527185732927,-29.22660662258197,0.3730110278725624
random50,4,0.0,0.1,0.8817050493491632,-29.72996580336938,0.36938178047537806
top,0,0.0,0.15,0.6633459292339402,-58.296814051310065,0.20470615610480308
bottom,0,0.0,0.15,0.6575753034617113,-67.95917590248841,0.22716269634664057
center,0,0.0,0.15,0.7353518362769834,-50.82458811895175,0.1992946532741189
random50,0,0.0,0.15,0.8802796387998835,-30.323092618022017,0.19188613794744014
random50,1,0.0,0.15,0.8699551569506726,-29.080963741032,0.19328191552311183
random50,2,0.0,0.15,0.885489380662409,-28.593545083389927,0.19280642293393613
random50,3,0.0,0.15,0.8801514489587884,-29.84749444857738,0.20426239781081676
random50,4,0.0,0.15,0.8709770114942529,-30.240604194191256,0.20040554832667112
top,0,0.0,0.25,0.6361296963458569,-71.89218745350553,0.04795904278755188
bottom,0,0.0,0.25,0.6525183081751607,-77.717691626317,0.059179030591621995
center,0,0.0,0.25,0.7329974811083123,-56.97181848957243,0.05631637483369559
random50,0,0.0,0.25,0.8694029850746269,-31.355921172046195,0.052176727345213295
random50,1,0.0,0.25,0.8801717967072298,-30.559984479250893,0.04777743359329179
random50,2,0.0,0.25,0.8734476641040805,-31.49979710589744,0.04456991500686854
random50,3,0.0,0.25,0.875310627101301,-30.567641389410085,0.04868847559206188
random50,4,0.0,0.25,0.8695909899229401,-31.15082548762007,0.050651314712595194
top,0,0.0,0.5,0.5901095253899767,-131.56075885437946,0.0015604294475341973
bottom,0,0.0,0.5,0.5981554677206851,-147.63906335033312,0.002226277640786165
center,0,0.0,0.5,0.6942328618063112,-105.0595515855495,0.0014545347807363206
random50,0,0.0,0.5,0.8517769430800347,-40.7079114661404,0.0008925795374808442
random50,1,0.0,0.5,0.852362782506604,-38.68765281103672,0.0019530954589234194
random50,2,0.0,0.5,0.8458635703918723,-38.74996395807461,0.0008054143345170861
random50,3,0.0,0.5,0.8476064997804128,-41.3762159608153,0.001117901012645266
random50,4,0.0,0.5,0.8447295524128882,-40.627323749173314,
top,0,0.25,0.05,0.6431733060946544,-65.64034236148554,
bottom,0,0.25,0.05,0.6445611402850713,-81.70826181317312,
center,0,0.25,0.05,0.7258179739962852,-54.41264885954443,
random50,0,0.25,0.05,0.8771724842996933,-30.078973759012925,
random50,1,0.25,0.05,0.8745704467353952,-31.204427689955672,
random50,2,0.25,0.05,0.8807927717866512,-29.61730710288097,
random50,3,0.25,0.05,0.8659611992945326,-30.10317213576029,
random50,4,0.25,0.05,0.8750183150183151,-29.925189246908555,
top,0,0.25,0.1,0.6560937769350113,-59.47594978793616,0.2873579695820808
bottom,0,0.25,0.1,0.6595616931852296,-68.89413525755377,0.3074189705401659
center,0,0.25,0.1,0.7435432081530086,-52.13899884495649,0.2889313296228647
random50,0,0.25,0.1,0.8803156510302499,-29.298698303639952,0.2877156970649958
random50,1,0.25,0.1,0.8726848476009917,-30.363596559434846,0.2838370558619499
random50,2,0.25,0.1,0.8714905933429812,-30.532857123217124,0.2950843421369791
random50,3,0.25,0.1,0.8806512574502108,-29.929585679735,0.28736426688730715
