step,f1,logp,acc
2000,0.5154639175257731,-239.55758586811245,0.08496532983508245
2100,0.513715710723192,-219.87183105654174,0.09875
2200,0.5093770931011387,-210.7072112665479,0.0921875
2300,0.5077077747989276,-202.25413144136726,0.09296875
2400,0.5066487123379902,-194.152886932664,0.08109375
2500,0.5096056622851365,-190.46984842430564,0.07125
2600,0.5045531197301855,-188.3662213748576,0.08109375
2700,0.5052311846101923,-186.26832942836842,0.09578125
2800,0.5075834175935288,-182.65828035092824,0.083125
2900,0.5079418722541399,-180.5977417099954,0.07359375
3000,0.5061016949152543,-178.888712365308,0.07734375
3100,0.5083135391923991,-177.61988279757173,0.078125
3200,0.5100169779286927,-173.464284696863,0.07796875
3300,0.5133163698049195,-170.79450043330291,0.083125
3400,0.5114464982194337,-168.61705409789477,0.0865625
3500,0.5122735737260877,-166.8932777881826,0.0834375
3600,0.5103145079472439,-164.78197039986634,0.086875
3700,0.5129332206255283,-163.55451153167797,0.09421875
3800,0.5115176151761518,-163.59858024140857,0.08375
3900,0.5097706032285472,-163.63956534625856,0.08640625
4000,0.5099439061703213,-161.0342290691898,0.08265625
4100,0.5096905814348861,-160.6602509322945,0.08421875
4200,0.5101242130338608,-158.69810671984538,0.098125
4300,0.5091219096334186,-158.72762268430552,0.07734375
4400,0.5091281351305238,-158.54456508845414,0.07890625
4500,0.509153122326775,-156.5425840464459,0.0928125
4600,0.5070277682550566,-155.2115607554687,0.09234375
4700,0.5075445816186557,-152.9326810920765,0.0959375
4800,0.5071195745410877,-151.54819387153432,0.09921875
4900,0.507554945054945,-150.37609151457917,0.08421875
5000,0.5074729427933344,-149.1802617810161,0.08859375
5100,0.5061855670103093,-148.07709727021052,0.08203125
5200,0.5090971507037418,-148.04682378743013,0.08859375
5300,0.5097162510748066,-147.4792000358188,0.08359375
5400,0.5074061315880124,-147.3974133749459,0.0759375
5500,0.5073187532288618,-147.2760089065497,0.079375
5600,0.5086147484493453,-146.1821742286162,0.1015625
5700,0.5089593383873191,-146.15998671621242,0.09578125
5800,0.510351966873706,-144.4436381556527,0.0884375
5900,0.5110650069156293,-143.4275286280656,0.0909375
6000,0.5103950103950103,-142.54596983196456,0.09765625
6100,0.5111920874544508,-141.76566804261122,0.085
6200,0.5103280680437424,-140.62802723804282,0.08453125
6300,0.5105792577176552,-140.04284446501643,0.08640625
6400,0.5110147441457068,-140.03608598133462,0.06984375
6500,0.5123221103783409,-139.7510597962799,0.06625
6600,0.5141272317559369,-139.0194946644675,0.06796875
6700,0.5153246753246753,-139.03882156820302,0.068125
6800,0.5153246753246753,-138.38860609769606,0.0734375
6900,0.516542525549974,-137.18767667651613,0.0765625
7000,0.5163081193615545,-137.0573925289736,0.07859375
7100,0.5186340786964811,-137.03570032617853,0.06765625
7200,0.5195976413458203,-137.05013784734712,0.0753125
